CPS (Food Security),HHSUPWGT,Weight - household weight for supplement household,910954,Dec 2013 - current
CPS (Food Security),PWSUPWGT,Weight - person weight for supplement household,910955,Dec 2013 - current
CPS (Food Security),HES1A,Expend - shopped at supermarket/grocery store last week,910956,Dec 2013 - current
CPS (Food Security),HES1B,"Expend - shopped at warehouse clubs/produce stands, etc.",910957,Dec 2013 - current
CPS (Food Security),HES1C,Expend - bought food at restaurant/cafeteria/etc. last week,910958,Dec 2013 - current
CPS (Food Security),HES1D,Expend - bought food from any other kind of place last week,910959,Dec 2013 - current
CPS (Food Security),HETS2O,Expend - total amount spent at supermarket/grocery store,910960,Dec 2013 - current
CPS (Food Security),HETS3O,Expend - amount for nonfood at supermarket/grocery store,910961,Dec 2013 - current
CPS (Food Security),HETS4O,"Expend - total amount spent at warehouse, clubs, etc.",910962,Dec 2013 - current
CPS (Food Security),HETS5O,"Expend - amount for nonfood at warehouse, clubs, etc.",910963,Dec 2013 - current
CPS (Food Security),HETS6O,Expend - total amount spent for food away from home,910964,Dec 2013 - current
CPS (Food Security),HETS7O,Expend - total amount spent for food anywhere else,910965,Dec 2013 - current
CPS (Food Security),HETS8O,Expend - total amount spent for food last week,910966,Dec 2013 - current
CPS (Food Security),HETS8OU,Expend - USUAL amount spent for food per week,910967,Dec 2013 - current
CPS (Food Security),HES8B,Expend/need a - need to spend more or could spend less,910968,Dec 2013 - current
CPS (Food Security),HETS8CO,Expend/need c - amount more would need to spend,910969,Dec 2013 - current
CPS (Food Security),HETS8DO,Expend/need d - amount less could spend,910970,Dec 2013 - current
CPS (Food Security),HES9,Screen-ran short of money in past 12 months,910971,Dec 2013 - current
CPS (Food Security),HESP1,Program - SNAP received in past 12 months,910972,Dec 2013 - current
CPS (Food Security),HESP21,Program - SNAP received in January,910973,Dec 2013 - current
CPS (Food Security),HESP22,Program - SNAP received in February,910974,Dec 2013 - current
CPS (Food Security),HESP23,Program - SNAP received in March,910975,Dec 2013 - current
CPS (Food Security),HESP24,Program - SNAP received in April,910976,Dec 2013 - current
CPS (Food Security),HESP25,Program - SNAP received in May,910977,Dec 2013 - current
CPS (Food Security),HESP26,Program - SNAP received in June,910978,Dec 2013 - current
CPS (Food Security),HESP27,Program - SNAP received in July,910979,Dec 2013 - current
CPS (Food Security),HESP28,Program - SNAP received in August,910980,Dec 2013 - current
CPS (Food Security),HESP29,Program - SNAP received in September,910981,Dec 2013 - current
CPS (Food Security),HESP210,Program - SNAP received in October,910982,Dec 2013 - current
CPS (Food Security),HESP211,Program - SNAP received in November,910983,Dec 2013 - current
CPS (Food Security),HESP212,Program - SNAP received in December,910984,Dec 2013 - current
CPS (Food Security),HETSP2D,Program - date SNAP last received,910985,Dec 2013 - current
CPS (Food Security),HETSP3O,Program - amount of SNAP benefit received,910986,Dec 2013 - current
CPS (Food Security),HESP3OTC,Program - topcode flag for amount of food stamps,910987,Dec 2013 - current
CPS (Food Security),HESP6,"Program - free or reduced-cost lunches at school, past 30 days",910988,Dec 2013 - current
CPS (Food Security),HESP7,"Program - free or reduced-cost brakfasts at school, past 30 days",910989,Dec 2013 - current
CPS (Food Security),HESP7A,"Program - free or reduced-cost food, day care or Head Start",910990,Dec 2013 - current
CPS (Food Security),HESP8,"Program - foods received from WIC Program, past 30 days",910991,Dec 2013 - current
CPS (Food Security),HETSP9,Program - number of household getting WIC foods,910992,Dec 2013 - current
CPS (Food Security),HESP9TC,Program - topcode flag for number getting WIC foods,910993,Dec 2013 - current
CPS (Food Security),HESS1,"Screen - sufficiency of food eaten in household, quantity",910994,Dec 2013 - current
CPS (Food Security),HESS2,"Scale12 - worried food would run out, past 12 months",910995,Dec 2013 - current
CPS (Food Security),HESSM2,"Scale30 - worried food would run out, past 30 days",910996,Dec 2013 - current
CPS (Food Security),HESS3,"Scale12 - food bought didn't last, past 12 months",910997,Dec 2013 - current
CPS (Food Security),HESSM3,"Scale30 - food bought didn't last, past 30 days",910998,Dec 2013 - current
CPS (Food Security),HESS4,"Scale12 - couldn't afford balanced meals, past 12 months",910999,Dec 2013 - current
CPS (Food Security),HESSM4,"Scale30 - couldn't afford balanced meals, past 30 days",911000,Dec 2013 - current
CPS (Food Security),HESH2,"Scale12 - adult cut size or skipped meals, past 12 mont",911001,Dec 2013 - current
CPS (Food Security),HESHF2,"Scale12 - frequency adult cut or skipped, past 12 mon",911002,Dec 2013 - current
CPS (Food Security),HESHM2,"Scale30 - adult cut size or skipped meals, past 30 days",911003,Dec 2013 - current
CPS (Food Security),HESHMF2,"Scale30 - frequency adult cut or skipped, past 30 days",911004,Dec 2013 - current
CPS (Food Security),HESH3,"Scale12 - ate less than felt they should, past 12 months",911005,Dec 2013 - current
CPS (Food Security),HESHF3,"Scale12 - frequency ate less than felt they should, past 12",911006,Dec 2013 - current
